Code,Country_ECDC,Region,Income_group,ACAPS_suppression_number,ACAPS_reference,Description,source,Date_suppression,Date_lastACAPSifnosuppression,WPP_Population,cases_at_suppression,deaths_at_suppression,end_exp_growth,cases_at_end_exponential,deaths_at_end_exponential,cases_per_death
ISR,Israel,Middle East & North Africa,High income,1,1864,mandatory lockdown: do not go outside unless absolutely necessary.,https://govextra.gov.il/ministry-of-health/corona/corona-virus-en/guidelines/#lockdown,17/03/2020,NA,8655.541,260,0,17/03/2020,260,0,NA
ITA,Italy,Europe & Central Asia,High income,1,1689,General lockdown across component of everyday life; businesses can continue if they implement safety measures,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sgDECRETO%20DEL%20PRESIDENTE%20DEL%20CONSIGLIO%20DEI%20MINISTRI%208%20marzo%202020,08/03/2020,NA,60461.828,5883,233,08/03/2020,5883,233,25.24892704
JAM,Jamaica,Latin America & Caribbean,Upper middle income,1,3870,"daily: 8:00 P.M. to 6:00 A.M. island curfew. The curfew will run for seven days and is scheduled to end at 6:00 A.M. on April 8, 2020.",https://jm.usembassy.gov/covid-19-information-jamaica/,01/04/2020,NA,2961.161,38,1,01/04/2020,38,1,NA
JOR,Jordan,Middle East & North Africa,Upper middle income,1,843,Government imposes Defense law. All public and private offices shut down for two weeks.  Movement between cities and towns is stritcly prohibilited.  Military is deployed to enforce regulations,NRC MERO (Internal document),18/03/2020,NA,10203.14,35,0,18/03/2020,35,0,NA
JPN,Japan,East Asia & Pacific,High income,2,NA,NA,NA,NA,NA,126476.458,NA,NA,11/03/2020,568,12,47.33333333
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,3,NA,NA,NA,NA,28/03/2020,18776.707,NA,NA,28/03/2020,193,0,NA
KEN,Kenya,Sub-Saharan Africa,Lower middle income,1,2748,Kenya is instating a curfew from 7pm - 5am for all citizens. Only medical professionals and critical and essential service providers will be exempt from the curfew. Kenyatta also announced a series of tax breaks to assist residents affected by the outbreak.,https://twitter.com/MOH_Kenya/status/1243525430147235843,27/03/2020,NA,53771.3,31,1,27/03/2020,31,1,NA
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,3,NA,NA,NA,NA,14/03/2020,6524.191,NA,NA,NA,NA,NA,NA
KHM,Cambodia,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,17/03/2020,16718.971,NA,NA,17/03/2020,24,0,NA
KIR,Kiribati,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,14/04/2020,119.446,NA,NA,NA,NA,NA,NA
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,3,NA,NA,NA,NA,25/03/2020,NA,NA,NA,NA,NA,NA,NA
KOR,South Korea,East Asia & Pacific,High income,2,NA,NA,NA,NA,NA,51269.183,NA,NA,26/02/2020,1146,11,104.1818182
KWT,Kuwait,Middle East & North Africa,High income,1,1730,"Nationwide curfew from 5:00pm until 4:00am; violations fined by 10,000KD and imprisoned for up to three years. Foreign nationals found in violation of the curfew order also risk deportation.",https://kw.usembassy.gov/covid-19-information/,22/03/2020,NA,4270.563,176,0,22/03/2020,176,0,NA
LAO,Lao PDR,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,17/02/2020,7275.556,NA,NA,NA,NA,NA,NA
LBN,Lebanon,Middle East & North Africa,Upper middle income,1,2989,Curfew from 19.00 to 05.00.,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,26/03/2020,NA,6825.442,333,4,26/03/2020,333,4,83.25
LBR,Liberia,Sub-Saharan Africa,Low income,1,4989,"Liberia announces 3 week partial lockdown. During this period, residents may leave home only for essential journeys like reasons of health and food which should be restricted to your local communities and be limited to a single person per household for a maximum of one hour. The emergency law will last for three weeks and is renewable “until the threat to Liberia from the Covid-19 virus no longer exists"".",https://www.bbc.com/news/topics/c77jz3md70rt/liberia,10/04/2020,NA,5057.677,31,4,10/04/2020,31,4,7.75
LBY,Libya,Middle East & North Africa,Upper middle income,1,1946,"Curfew set from 6pm to 6am, extended on 23rd March for 10 days",https://www.reuters.com/article/us-health-coronavirus-libya-curfew/eastern-libya-imposes-curfew-over-pandemic-idUSKBN21526W,18/03/2020,NA,6871.287,0,0,18/03/2020,0,0,NA
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,1,3757,Partial scale down of all non-essential economic and social activities for a two-week period commencing from date *until April 5,https://34a1ju2gva4u3yrm051vedfb-wpengine.netdna-ssl.com/wp-content/uploads/2020/03/Statement-on-scale-down-of-Non-Essential-Services.pdf.pdf.pdf,23/03/2020,NA,183.629,2,0,23/03/2020,2,0,NA
LIE,Liechtenstein,Europe & Central Asia,High income,1,527,closure of restaurants and bars starting 16 March; no more gatherings with more than 5 persons,https://www.regierung.li/media/attachments/119-corona-massnahmen-verschaerft-0315.pdf?t=637199612907342827,16/03/2020,NA,NA,7,0,16/03/2020,7,0,NA
LKA,Sri Lanka,South Asia,Upper middle income,1,1178,Island wide curfew 6.00 pm today (March 20) until 6.00 am on Monday (March 23). imposed to stop the spread of Corona – quarantine centres increased to 22,https://news.lk/news/political-current-affairs/item/29806-island-wide-curfew-imposed-to-stop-the-spread-of-corona-quarantine-centres-increased-to-22,20/03/2020,NA,21413.25,53,0,20/03/2020,53,0,NA
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,1,3474,"Lesotho goes into lockdown until the 21st of April. Residents will still be permitted to buy food and seek medical care during this period. Emergency responders, health workers, and security service staff are exempt from the lockdown measures.",https://www.garda.com/crisis24/news-alerts/327786/lesotho-authorities-announce-lockdown-and-entry-restrictions-due-to-covid-19-effective-march-30,30/03/2020,NA,2142.252,0,0,30/03/2020,0,0,NA
LTU,Lithuania,Europe & Central Asia,High income,1,432,In country travels limitations and 1 meter distance between people.,http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution,16/03/2020,NA,2722.291,14,0,16/03/2020,14,0,NA
LUX,Luxembourg,Europe & Central Asia,High income,1,2125,"Leaving is allowed for essentials, to get fresh air and work (if home office is not applicable)",https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B17-declaration-premier-chd.html,17/03/2020,NA,625.976,81,1,17/03/2020,81,1,NA
LVA,Latvia,Europe & Central Asia,High income,3,NA,NA,NA,NA,09/04/2020,1886.202,NA,NA,09/04/2020,577,2,NA
MAC,"Macao SAR, China",East Asia & Pacific,High income,4,NA,NA,NA,NA,NA,649.342,NA,NA,NA,NA,NA,NA
MAF,St. Martin (French part),Latin America & Caribbean,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,Middle East & North Africa,Lower middle income,3,NA,NA,NA,NA,16/03/2020,36910.558,NA,NA,16/03/2020,28,1,NA
MCO,Monaco,Europe & Central Asia,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Moldova,Europe & Central Asia,Lower middle income,1,3108,the army will be deployed to enforce restriction measures.,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,25/03/2020,NA,4033.963,125,1,25/03/2020,125,1,NA
MDG,Madagascar,Sub-Saharan Africa,Low income,1,1614,A curfew is in place from 20:00 to 05:00.,https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus,23/03/2020,NA,27691.019,3,0,23/03/2020,3,0,NA
MDV,Maldives,South Asia,Upper middle income,1,5014,Between 17:00 and 20:00 all must stay at home and there are restrictions on all road traffic (including pedestrians). There is suspesion of all public transport during these hours. Exceptions for key workers.,https://covid19.health.gov.mv/wp-content/uploads/2020/04/Notice-number-28-Eng.pdf,02/04/2020,NA,540.542,19,0,02/04/2020,19,0,NA
MEX,Mexico,Latin America & Caribbean,Upper middle income,3,NA,NA,NA,NA,03/04/2020,128932.753,NA,NA,03/04/2020,1510,50,30.2
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,3,NA,NA,NA,NA,15/04/2020,NA,NA,NA,NA,NA,NA,NA
MKD,North Macedonia,Europe & Central Asia,Upper middle income,1,2304,"nationwide: between 21.00 and 05.00, effective from 22 March. On Saturdays and Sundays the curfew is in effect from 4 p.m. to 5 a.m. On Mondays through Fridays the curfew is in effect from 9 p.m. to 5 a.m.  People in need of emergency medical assistance are exempted. Within the villages, agricultural related activity is exempted from the curfew.",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,NA,2083.38,136,2,24/03/2020,136,2,NA
MLI,Mali,Sub-Saharan Africa,Low income,1,4294,National curfew between 9pm and 5am.,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/mali/,25/03/2020,NA,20250.834,0,0,25/03/2020,0,0,NA
MLT,Malta,Middle East & North Africa,High income,1,4413,"Max 3 person, apart from those co-living allowed in groups outside; fines of 100EUR per person",https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/March/30/pr200580.aspx,30/03/2020,NA,441.539,156,0,30/03/2020,156,0,NA
MMR,Myanmar,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,10/04/2020,54409.794,NA,NA,10/04/2020,27,3,9
MNE,Montenegro,Europe & Central Asia,Upper middle income,1,3112,"valid for 15days: ban on leaving the housing facility for citizens, from Monday to Friday, from 7pm to 5am the following day, and Saturday from 1pm to 5am on Monday. Exceptionally, for the duration of this ban, persons who take their pets out for a walk may stay in the public place for up to 60 minutes. This prohibition does not apply to persons who carry out regular tasks and provide services of public interest, and are an indispensable condition of life and work of citizens (health, inspection bodies, police, military, fire services, utilities, media - including persons coming to media shows, agricultural activities on farms, etc.), as evidenced by a certificate issued by the employer",http://www.gov.me/en/News/223443/New-measures-Ban-on-leaving-home-in-working-days-and-at-night-on-Saturday-afternoons-and-on-Sundays-all-day.html,30/03/2020,NA,628.062,85,1,30/03/2020,85,1,NA
MNG,Mongolia,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,27/03/2020,3278.292,NA,NA,27/03/2020,11,0,NA
MNP,Northern Mariana Islands,East Asia & Pacific,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,Mozambique,Sub-Saharan Africa,Low income,3,NA,NA,NA,NA,14/04/2020,31255.435,NA,NA,14/04/2020,27,0,NA
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,1,1910,The government imposed a stricter curfew of 18:00-06:00.,https://www.africanews.com/2020/03/21/covid-19-mauritania-enforces-curfew//,21/03/2020,NA,4649.66,2,0,21/03/2020,2,0,NA
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,1,3360,"Curfew imposed from 23 March at 20:00 until 2 April at 20:00. Only those providing essential services and who have a permit will be able to travel. Workplace Access Permits required during curfew, as enforced by the Mauritius Police. Implementing restricted areas.",https://www.facebook.com/notes/coronavirus-moris/couvre-feu-curfew/109439437362384/?__tn__=HH-R,23/03/2020,NA,1271.767,28,2,23/03/2020,28,2,NA
MWI,Malawi,Sub-Saharan Africa,Low income,1,5426,"Malawi declares a 21 day lockdown 19th april to midnight 9th May: With the exception of law enforcement officers and providers of essential goods and services, people will need to seek permission to leave the area around their homes. local markets will be allowed to open between 05:00 and 18:00 local time. There is a ban on buying alcohol.",https://www.facebook.com/pg/malawigovernment/posts/,19/04/2020,NA,19129.955,17,2,19/04/2020,17,2,NA
MYS,Malaysia,East Asia & Pacific,Upper middle income,1,1365,"Movement Control Order (MCO) in place from March 18-31 in place under the Prevention and Control of Infectious Diseases Act 1988 and the Police Act 1967. Government and private offices apart from those providing essential services are closed. All shops other than businesses dealing with daily essentials – such as food and pharmaceutical stores are closed. The Chief Minister of Sarawak has announced that people will only be allowed to leave their homes in order to buy daily necessities, essential goods and services.",https://www.malaysia.gov.my/portal/index,18/03/2020,NA,32365.998,673,2,18/03/2020,673,2,NA
NAM,Namibia,Sub-Saharan Africa,Upper middle income,1,2422,"People may only leave their homes if they are exempt to the lockdown rules (keyworkers), to buy essential items, for medical reasons, or for some exercise in groups of no more than 3. Breaking the lockdown will result in a spot fine or arrest.",https://www.garda.com/crisis24/news-alerts/326116/namibia-authorities-ban-entry-of-all-foreign-nationals-due-to-covid-19-march-24-update-1,28/03/2020,NA,2540.916,8,0,28/03/2020,8,0,NA
NCL,New Caledonia,East Asia & Pacific,High income,4,NA,NA,NA,NA,NA,285.491,NA,NA,NA,NA,NA,NA
NER,Niger,Sub-Saharan Africa,Low income,1,3230,A curfew is in effect from 7 p.m. to 6 a.m. in the city of Niamey.,https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/,28/03/2020,NA,24206.636,10,1,28/03/2020,10,1,NA
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,1,3116,All people are told to remain at home and all but essential businessed are closed for a period of 14 days.,https://www.aljazeera.com/news/2020/03/nigeria-announces-lockdown-major-cities-curb-coronavirus-200330095100706.html,30/03/2020,NA,206139.587,97,1,30/03/2020,97,1,NA
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,3,NA,NA,NA,NA,14/04/2020,6624.554,NA,NA,14/04/2020,9,1,NA
NLD,Netherlands,Europe & Central Asia,High income,1,2146,"Gatherings of 3 or more people that do not keep a 1.5 meter distance are forbidden. This does not apply to children or to people in the same household, such as families.",https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,23/03/2020,NA,17134.873,4204,179,23/03/2020,4204,179,23.48603352
NOR,Norway,Europe & Central Asia,High income,3,NA,NA,NA,NA,08/04/2020,5421.242,NA,NA,08/04/2020,5863,69,84.97101449
NPL,Nepal,South Asia,Low income,1,2599,"the Nepal government decided to lockdown the whole country from 24 March at 6AM for one week till 31 March 6AM. This would be a much stricter stay-at-home order that would bring all movement to a halt and also close all government offices, businesses and shops.",https://www.nepalitimes.com/banner/nepal-goes-into-lockdown-for-a-week/,24/03/2020,NA,29136.808,2,0,24/03/2020,2,0,NA
NRU,Nauru,East Asia & Pacific,Upper middle income,3,NA,NA,NA,NA,09/04/2020,NA,NA,NA,NA,NA,NA,NA
NZL,New Zealand,East Asia & Pacific,High income,1,1491,"At 11.59pm on Wednesday 25th March, New Zealand will go into full lockdown for 4 weeks as we move into Covid-19 alert level 4. New Zealanders who are outside of essential services must stay at home and stop all interactions with others outside of those in your households.",https://covid19.govt.nz/government-actions/covid-19-alert-level/,25/03/2020,NA,4822.233,189,0,25/03/2020,189,0,NA
OMN,Oman,Middle East & North Africa,High income,3,NA,NA,NA,NA,06/04/2020,5106.622,NA,NA,06/04/2020,298,2,NA
PAK,Pakistan,South Asia,Lower middle income,3,NA,NA,NA,NA,20/03/2020,220892.331,NA,NA,20/03/2020,478,2,NA
PAN,Panama,Latin America & Caribbean,High income,1,1205,"nationwide curfew from 9:00 p.m. to 5:00 a.m.  There are some exemptions:  public services, hospitals, airports/ports, pharmacies, gas stations, supermarkets, food delivery services, the energy sector, and emergency services, among others",https://pa.usembassy.gov/health-alert-u-s-embassy-panama-city-panama-march-19-2020/,18/03/2020,NA,4314.768,86,1,18/03/2020,86,1,NA
PER,Peru,Latin America & Caribbean,Upper middle income,1,4578,National curfew from from 6:00 p.m. – 5:00 a.m. for most of Peru (including Lima and Cusco).,https://pe.usembassy.gov/covid-19-information/,26/03/2020,NA,32971.846,558,8,26/03/2020,558,8,69.75
PHL,Philippines,East Asia & Pacific,Lower middle income,1,2191,Many local government units (including in Metro Manila) have announced overnight curfews (most commonly between 2000 and 0500),https://abcnews.go.com/International/wireStory/philippines-declares-night-curfew-manila-fight-virus-69595134,14/03/2020,NA,109581.085,64,6,14/03/2020,64,6,10.66666667
PLW,Palau,East Asia & Pacific,High income,3,NA,NA,NA,NA,09/04/2020,NA,NA,NA,NA,NA,NA,NA
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,1,1502,14 day national lockdown starting tomorrow March 24,https://www.rnz.co.nz/news/pacific/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens,24/03/2020,NA,8947.027,1,0,24/03/2020,1,0,NA
POL,Poland,Europe & Central Asia,High income,1,2315,"People are not allowed to leave their home, apart for essential matters, including any kind of work",https://www.gov.pl/web/koronawirus/wprowadzamy-nowe-zasady-bezpieczenstwa-w-zwiazku-z-koronawirusem,24/03/2020,NA,37846.605,749,8,24/03/2020,749,8,93.625
PRI,Puerto Rico,Latin America & Caribbean,High income,4,NA,NA,NA,NA,NA,2860.84,NA,NA,NA,NA,NA,NA
PRK,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,3,NA,NA,NA,NA,21/03/2020,25778.815,NA,NA,NA,NA,NA,NA
PRT,Portugal,Europe & Central Asia,High income,1,1096,"From March 22, for at least 15 days, all non-essential businesses will be closed to customers, although restaurants will be allowed to provide takeaway services. Supermarkets, pharmacies, bakeries, petrol stations and banks will remain open but must implement capacity restrictions.",https://jornaleconomico.sapo.pt/en/noticias/oficial-estes-sao-os-estabelecimentos-que-vao-estar-abertos-e-fechados-durante-o-estado-de-emergencia-563711,22/03/2020,NA,10196.707,1280,12,22/03/2020,1280,12,106.6666667
PRY,Paraguay,Latin America & Caribbean,Upper middle income,1,1978,Curfew instaured from 8pm to 4am.,https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html,17/03/2020,NA,7132.53,9,0,17/03/2020,9,0,NA
PSE,State of Palestine,Middle East & North Africa,Lower middle income,1,4057,"22 March until 5 April a ban on all non-essential movements outside one’s own accommodation. Key workers, including health workers, pharmacists, bakers, public administration staff and those working in grocery stores are exempt from this ban.",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,22/03/2020,NA,5101.416,52,0,22/03/2020,52,0,NA
PYF,French Polynesia,East Asia & Pacific,High income,4,NA,NA,NA,NA,NA,280.904,NA,NA,NA,NA,NA,NA
QAT,Qatar,Middle East & North Africa,High income,3,NA,NA,NA,NA,27/03/2020,2881.06,NA,NA,27/03/2020,549,0,NA
ROU,Romania,Europe & Central Asia,Upper middle income,1,1398,"No more than 3 people who do not live together, all non essentials, only leave house for necessary goods/services, and short trips outdoors for physcial activity etc.",https://stirioficiale.ro/informatii/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19,22/03/2020,NA,19237.682,367,0,22/03/2020,367,0,NA
RUS,Russia,Europe & Central Asia,Upper middle income,1,3124,"Moscow: From 30 March, all people (regardless of age) in the capital Moscow and the rest of the Moscow Oblast should self-isolate at home until further notice. All non-essential movement in the city will be banned although entering and exiting Moscow will still be possible, and walking pets at a distance may not exceed 100 meters from one’s residence",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,30/03/2020,NA,145934.46,1534,8,30/03/2020,1534,8,191.75
RWA,Rwanda,Sub-Saharan Africa,Low income,1,1828,"Announcement of lockdown for the country of Rwanda for a period of 2 weeks. Preventative measures for the next 2 weeks: non-essential movement outside the home is not permitted, all employees shall work from home except those providing essential services, non-essential shops and markets are closed, all bars are closed, and motos/restaurants/cafes may only provide take-away/delivery services.",https://www.rbc.gov.rw/fileadmin/user_upload/guide/announcement%20on%20enhanced%20COVID-19%20prevention%20measures.pdf,21/03/2020,NA,12952.209,17,0,21/03/2020,17,0,NA
SAU,Saudi Arabia,Middle East & North Africa,High income,1,2355,"21 days. A night curfew between 19.00 and 06.00 will be imposed for 21 days starting from 23 March. BUT curfew will begin at 15.00 instead of 19.00 in the three cities of Riyadh, Mecca and Medina. **exceptions: apply to those in vital public and private sectors such as security, military and media. Those who work in health services are also excluded from the curfew.",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,23/03/2020,NA,34813.867,511,0,23/03/2020,511,0,NA
SDN,Sudan,Sub-Saharan Africa,Lower middle income,1,2994,Curfew of 8pm - 6am.,https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks,24/03/2020,NA,43849.269,2,1,24/03/2020,2,1,NA
SEN,Senegal,Sub-Saharan Africa,Lower middle income,3,NA,NA,NA,NA,09/04/2020,16743.93,NA,NA,09/04/2020,244,2,NA
SGP,Singapore,East Asia & Pacific,High income,2,NA,NA,NA,NA,NA,5850.343,NA,NA,15/04/2020,3252,10,325.2
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,1,5448,"curfew exercise in the capital Honiara from 8pm to 5pm Friday night and Saturday as part of preparations for a potential outbreak of Covid-19. During that time, residents of Honiara city are called on to remain in their homes. Shops and businesses are also not expected to open during the curfew hours.",https://www.rnz.co.nz/international/pacific-news/413943/solomons-pm-bans-small-watercraft-crossings-at-border-with-png,10/04/2020,NA,686.878,0,0,10/04/2020,0,0,NA
SLE,Sierra Leone,Sub-Saharan Africa,Low income,1,4306,"Sierra Leone announces 72 hour lockdown 5th, 6th, 7th of april are dyas where everyone is to stay at home.",https://www.africanews.com/2020/04/02/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport//,05/04/2020,NA,7976.985,4,0,05/04/2020,4,0,NA
SLV,El Salvador,Latin America & Caribbean,Lower middle income,1,3625,"From March 22, the Government of El Salvador issued a mandatory 30-day home quarantine period for individuals in #ElSalvador. Some exceptions to the quarantine include medical & police services, journalists, food delivery, grocery shopping (1 person per family), and banking.",https://sv.usembassy.gov/covid-19-information/,22/03/2020,NA,6486.201,3,0,22/03/2020,3,0,NA
SMR,San Marino,Europe & Central Asia,High income,3,NA,NA,NA,NA,20/03/2020,NA,NA,NA,20/03/2020,126,14,9
SOM,Somalia,Sub-Saharan Africa,Low income,1,5412,"Government of Somalia imposes night curfew in Moghadishu starting at 8pm April 15, from 8:00pm and 5:00am local time. No date has been set for lifting the curfew. It will not affect shops that are selling dry foods, hospitals and pharmacies, officials say.",https://www.voanews.com/science-health/coronavirus-outbreak/somalia-imposes-nighttime-curfew,15/04/2020,NA,15893.219,60,2,15/04/2020,60,2,NA
SRB,Serbia,Europe & Central Asia,Upper middle income,1,3961,state of emergency with widespread travel restrictions and curfews.,https://rs.usembassy.gov/covid-19-information/,03/04/2020,NA,8737.37,1171,31,03/04/2020,1171,31,37.77419355
SSD,South Sudan,Sub-Saharan Africa,Low income,1,5413,South sudan has curfew from 8pm to 6am.,https://www.osac.gov/Content/Report/10c44b03-fdf8-4249-856a-1848aca55939,25/03/2020,NA,11193.729,0,0,25/03/2020,0,0,NA
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,3,NA,NA,NA,NA,02/04/2020,219.161,NA,NA,NA,NA,NA,NA
SUR,Suriname,Latin America & Caribbean,Upper middle income,1,3582,the authorities introduced a curfew between 8 p.m. and 6 a.m. in effect until April 12. This measure is renewable.,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/suriname/,29/03/2020,NA,586.634,8,0,29/03/2020,8,0,NA
SVK,Slovakia,Europe & Central Asia,High income,3,NA,NA,NA,NA,09/04/2020,5459.643,NA,NA,09/04/2020,682,2,NA
SVN,Slovenia,Europe & Central Asia,High income,3,NA,NA,NA,NA,04/04/2020,2078.932,NA,NA,04/04/2020,934,20,46.7
SWE,Sweden,Europe & Central Asia,High income,3,NA,NA,NA,NA,18/04/2020,10099.27,NA,NA,18/04/2020,13216,1400,9.44
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,1,2692,Partial lockdown to be enforced for 20 days.,https://twitter.com/EswatiniGovern1/status/1243203567550377986/photo/1,27/03/2020,NA,1160.164,6,0,27/03/2020,6,0,NA
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,Seychelles,Sub-Saharan Africa,High income,1,4704,all non- essentials until 8. April 2020. police deployed,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,08/04/2020,NA,98.34,10,0,08/04/2020,10,0,NA
SYR,Syria,Middle East & North Africa,Low income,1,4488,Curfew from 1800 to 0600,https://acaps.sharepoint.com/:w:/r/sites/covid-19response/_layouts/15/Doc.aspx?sourcedoc=%7B4BD7DA89-4077-44C8-B6C3-75F03E1E90C8%7D&file=20200331%20Global-%20States%20of%20emergency.docx&action=default&mobileredirect=true,25/03/2020,NA,17500.657,1,0,25/03/2020,1,0,NA
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,Chad,Sub-Saharan Africa,Low income,1,4701,"Extension of the mandatory curfew between 7pm and 6am to the cities of Mandella, Logone-Gana and N'Djamena-Farah.",https://www.facebook.com/sggtchad/photos/a.1413843668653340/2961219870582371/?type=3&theater,03/04/2020,NA,16425.859,7,0,03/04/2020,7,0,NA
TGO,Togo,Sub-Saharan Africa,Low income,1,4586,National curfew from 8pm to 6am.,https://covid19.gouv.tg/,02/04/2020,NA,8278.737,36,2,02/04/2020,36,2,NA
THA,Thailand,East Asia & Pacific,Upper middle income,1,4715,From 3 April a daily curfew is in place nationwide from 22.00 to 04.00. Essential services are exempted from this restriction.,https://th.usembassy.gov/covid-19-information/,03/04/2020,NA,69799.978,1875,15,03/04/2020,1875,15,125
TJK,Tajikistan,Europe & Central Asia,Low income,3,NA,NA,NA,NA,05/04/2020,9537.642,NA,NA,NA,NA,NA,NA
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,3,NA,NA,NA,NA,01/04/2020,6031.187,NA,NA,NA,NA,NA,NA
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,4,NA,NA,NA,NA,NA,1318.442,NA,NA,NA,NA,NA,NA
TON,Tonga,East Asia & Pacific,Upper middle income,1,2614,"Under the lockdown, night-time curfews will be in place from 8pm to 6am and will be enforced by the Police, the Armed Forces and other authorised officers.",https://www.rnz.co.nz/international/pacific-news/412708/tonga-declares-lockdown-starting-this-weekend,26/03/2020,NA,105.697,0,0,26/03/2020,0,0,NA
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,3,NA,NA,NA,NA,03/03/2020,1399.491,NA,NA,NA,NA,NA,NA
TUN,Tunisia,Middle East & North Africa,Lower middle income,3,NA,NA,NA,NA,18/03/2020,11818.618,NA,NA,18/03/2020,24,0,NA
TUR,Turkey,Europe & Central Asia,Upper middle income,1,5225,"A two-day curfew has been renewed on  31 of the country’s 81 provinces, namely Adana, Ankara, Antalya, Aydin, Balikesir, Bursa, Denizli, Diyarbakir, Erzurum, Eskisehir, Gaziantep, Hatay, Istanbul, Izmir, Kahramanmaras, Kayseri, Kocaeli, Konya, Malatya, Manisa, Mardin, Mersin, Mugla, Ordu, Sakarya, Samsun, Sanliurfa, Tekirdag, Trabzon, Van and Zonguldak. This affects the capital Ankara and the commercial capital Istanbul (Istanbul province). The curfew will operate from 00.00, 18 April - 00.00, 20 April.",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,18/03/2020,NA,84339.067,98,0,18/03/2020,98,0,NA
TUV,Tuvalu,East Asia & Pacific,Upper middle income,1,4384,All public gatherings of 10 or more people are banned.,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,26/03/2020,NA,NA,0,0,26/03/2020,0,0,NA
TZA,Tanzania,Sub-Saharan Africa,Low income,3,NA,NA,NA,NA,11/04/2020,59734.213,NA,NA,11/04/2020,32,3,10.66666667
UGA,Uganda,Sub-Saharan Africa,Low income,1,3316,"14 day lockdown announced. All people to people movement by everybody including those using their private vehicles, bodabodas, tuk-tuks, etc is prohibited.",https://www.aa.com.tr/en/africa/uganda-declares-curfew-to-curb-spread-of-covid-19/1785775,30/03/2020,NA,45741,33,0,30/03/2020,33,0,NA
